Labels,Text,Text_Tag
5,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",public-safety
5,Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,guns
5,"Says in our region, 2011 was worst drought year ever recorded.","environment,water,weather"
5,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",environment
5,Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.,"civil-rights,corrections-and-updates,gays-and-lesbians,marriage"
5,Teddy Roosevelt first called for (health care) reform nearly a century ago.,health-care
5,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.",florida
5,"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.","civil-rights,terrorism"
5,"Says Time magazine called him ""one of America's best governors.",job-accomplishments
5,On supporting the Supreme Court abortion decision Roe v. Wade,abortion
5,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",taxes
5,"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",campaign-finance
5,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,health-care
5,"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",education
5,By registration fewer than 20 percent of Florida voters are Independents.,elections
5,"Today, we import triple the amount of oil than we had on the day Senator McCain took office.",energy
5,Says four-year terms for City Council members are the norm in most cities of our size.,city-government
5,"Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.",job-accomplishments
5,We now sell more products made in America to the rest of the world than ever before.,"corrections-and-updates,trade"
5,The costs of cancer and all affiliated issues are over $20 billion a year to this state.,health-care
5,President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.,"health-care,medicare,message-machine-2012"
5,"Countries bombed: Obama 7, Bush 4","foreign-policy,military"
5,"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",government-efficiency
5,"Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.","energy,states"
5,A million people a year come into the U.S. legally. No other country even comes close to that figure.,immigration
5,"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.","health-care,medicare,new-hampshire-2012"
5,The Koch brothers are one of the biggest polluters in the country.,environment
5,Says A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.,"county-government,public-health,taxes"
5,"From a standpoint of the county government, neither school system has received an increase in funding over the past six years.","county-budget,county-government,education,taxes"
5,Trenton politicians cut $1.3 billion from education.,"education,state-budget,state-finances"
5,On the Keystone XL pipeline,environment
5,The Iranians are now saying that what were saying the deal is and what they understand it to be are two different things.,"foreign-policy,nuclear"
5,The federal government has 77 different means-tested social welfare programs.,"federal-budget,government-efficiency"
5,I have returned money every year since taking office.,congressional-rules
5,"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",immigration
5,"You know, the approval rating of Congress is down to 13 percent.",ethics
5,"In Oregon, students are skipping math class to learn about the Bible.","education,religion"
5,The United States right now incarcerates more African-Americans as a percentage than apartheid South Africa did.,criminal-justice
5,"Before 2005, the percentage of Texas high school students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.","children,education"
5,"In 2011, the average annual compensation for a teacher in the Milwaukee Public Schools system will exceed $100,000.","education,labor,state-budget"
5,David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence and child abuse.,"candidates-biography,children,crime,criminal-justice,families,public-safety,women"
5,The GOP platform that seeks further limits on abortion and is silent on an exception for rape has been there for more than 30 years.,abortion
5,Fox News uses photo of a married couple promoting traditional marriage and the photo is actually of a same-sex couple.,gays-and-lesbians
5,Trump Management was charged with discriminating against African-Americans and breaking federal law.,"candidates-biography,civil-rights,housing,legal-issues"
5,The National Park Service has an annual budget that is less than the city of Austin.,"city-budget,city-government,federal-budget,recreation"
5,It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity.,"city-budget,energy,infrastructure"
5,"In 2011, more people were murdered with knives, hands or feet or clubs and hammers than with any type of rifle.",guns
5,SaysBernie Sanders has reversed his position on immunity for gun manufacturers and sellers.,"guns,legal-issues"
5,"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.","state-budget,state-finances,states"
5,"Says he ""fought against $3 billion in cuts to public education since 2003.",education
5,"When we moved into the White House, we had the lowest net worth of any family since Harry Truman.",wealth
5,The facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governors signature on a death warrant to end the case.,criminal-justice
5,"I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldn't blow up the United States Senate. Sen. Obama had the opportunity to join that group. He chose not to.",candidates-biography
5,A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.,"crime,criminal-justice,drugs"
5,"A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes.","deficit,federal-budget,medicare"
5,"The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American workers wage rose just 2 percent.","corporations,economy,families,income"
5,We havent had control of the House for the last two years and its been malfunctioning. We had 109 sessions scheduled and held 49.,government-efficiency
5,Says Newt Gingrich aligned with Nancy Pelosi on global warming.,"climate-change,environment,message-machine-2012"
5,"Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.","economy,financial-regulation,market-regulation,abc-news-week"
5,"For the first time in nearly two decades, we produce more oil here in the United States than we buy from the rest of the world.","economy,energy,trade"
5,Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.,campaign-finance
5,"Even our attorney general who is a strong Democrat, she has said that we need causation in our workers comp system. Thats the No. 1 thing pushing our manufacturing jobs out of Illinois.",jobs
5,Says President Franklin Delano Roosevelt felt there wasnt a need in the public sector to have collective bargaining because the government is the people.,"federal-budget,labor,state-budget,states,unions"
5,"Two years ago...I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke, and told them [subprime lending] is something we have to deal with.",economy
5,Georgia ranks No. 9 in the rate of women murdered by men.,"crime,guns,women"
5,"Says Gov. Charlie Crist has called him ""a rock star.",bipartisanship
5,Says Kelly Ayotte voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.,"guns,voting-record"
5,I get the most money from active duty officers and military personnel.,ethics
5,"In Texas, schools do not even have to teach sex education.",education
5,"A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so.",economy
5,Says the U.S. Department of Homeland Security must report to about 100 congressional committees and subcommittees.,"homeland-security,terrorism"
5,Says Gary Farmers claim that he received an A from the NRA is an absolute lie.,guns
5,"Marco Rubio spent $400K of your tax dollars remodeling offices, and building a members-only lounge.",candidates-biography
5,Floridas high school graduation rate falls well below the national average.,education
5,I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...,elections
5,"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents.",education
5,"Tourism accounts for 439,000 jobs in the state of Ohio, and visitors spend $36 billion annually.","economy,jobs,tourism"
5,"Says food stamp growth, while high, lagged the rise in unemployment.","economy,poverty"
5,"After the shootings of Dallas policemen, nearly 500 people applied in just 12 days.","public-safety,public-service"
5,"Women in Oregon are paid 79 cents for every dollar paid to men. If the wage gap was eliminated, a working woman in Oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent.","economy,families,income"
5,Polls show that 96 percent of New Jerseyans and 95 percent of gun households in the state support expanding background checks to keep guns away from those who shouldnt have them.,guns
5,The Atlanta Braves are the oldest continuously operating professional sports franchise in America.,job-accomplishments
5,"Senator Obama's relatives and friends say he has been talking about running for president for at least the last 15 years, a campaign spokesman said.",candidates-biography
5,The United States has experienced 40 straight months of unemployment at 8 percent or higher.,"economy,jobs"
5,We now do have evidence that Donald Trump is being used as a recruiting tool for terrorists.,"history,terrorism"
5,"During Lyndon B. Johnsons first 20 years in Congress, he opposed every civil rights measure that came up for a vote.","civil-rights,history"
5,"Says if you are on your bike in a crosswalk, all you have to do is dip your wheel into the road and cars must legally stop.",transportation
5,"The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.",health-care
5,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.","economy,federal-budget,stimulus"
5,Says Rick Perry provided in-state tuition... for illegal immigrants.,"education,immigration"
5,Theres no correlation between primary turnout and wins in the fall in the last 11 elections.,elections
5,"The top 1 percent of income earners pay 40 percent of all state income taxes, and those at the bottom pay little or nothing.",taxes
5,In Malaysia many of the workers are indentured servants because their passports are taken away when they come into this country and are working in slave-like conditions.,"foreign-policy,human-rights,labor,trade"
5,Ninety six percent of employers in the Granite State are considered small businesses.,"congress,government-efficiency,government-regulation,small-business"
5,"Amiddle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.",taxes
5,Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.,"health-care,medicaid"
5,Six of Georgias counties have no lawyers at all.,legal-issues
5,The state of Georgia is near the bottom among states for SAT scores and graduation rates.,education
5,"One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.",government-efficiency
5,He has never voted for a federal restriction on gun ownership.,guns
5,He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.,guns
5,Says Scott Walkers views on abortion are more restrictive than any Republican president in recent times.,"abortion,candidates-biography,civil-rights,legal-issues,women"
5,"Of the four statewide races this century within a 300-vote margin, three have been overturned in a recount.",elections
5,Central Health is the only hospital district in Texas that spends taxpayer dollars on abortions.,abortion
5,Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.,"county-government,jobs,state-budget"
5,The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.,"campaign-finance,elections"
5,The government does not need a warrant to read your old emails.,privacy
5,The poorest in this country are women.,"families,poverty,women"
5,"In every state, women are paid less than men.","income,women,workers"
5,"Says in our gun laws were allowing domestic abusers to sidestep this ban on getting a gun. The loophole allows a convicted abuser to walk into a gun show and walk out with a gun, no questions asked.","crime,guns,women"
5,Today almost half our debt is owned by foreigners.,"federal-budget,foreign-policy,history"
5,Says he was the only Republican to vote against creating a House panel to investigate Planned Parenthood.,"abortion,congress"
5,Were No. 1 in child hunger.,children
5,Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,"education,state-budget,state-finances"
5,"Contrary to popular belief, we actually dont have that many public employeesWe are well below average in the number of public employees.","economy,labor,state-budget,state-finances,workers"
5,Today the Walton family of Walmart own more wealth than the bottom 40 percent of America.,economy
5,"Says none of the government programs targeted for elimination or severe cutback in House Republican spending plans appeared on the GAOs list of government programs at high risk of waste, fraud and abuse.","deficit,federal-budget,government-efficiency"
5,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.,"energy,environment,oil-spill"
5,"By 2009, dozens of senior terrorists had been taken off the battlefield by drones.","afghanistan,foreign-policy,iraq,legal-issues,military,terrorism"
5,Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.,"education,state-budget,state-finances"
5,We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So weve taken 5 percent away from the private sector.,"economy,federal-budget"
5,"In South Florida, weve had nine inches of sea-level rise since the 1920s.",environment
5,Says Mitt Romney has a corporation in Bermuda (but) failed to disclose that on seven different financial disclosures.,"candidates-biography,corrections-and-updates,taxes"
5,Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu.,health-care
5,The president of the United States came in the Tuesday before the election in a ward that went 99% for him in the last election and they couldnt even (increase) the vote there.,elections
5,We know that every 85 visitors create one Florida job.,"economy,jobs,tourism"
5,"We understand that this heroin is primarily coming from Mexico, over the border.",drugs
5,Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.,candidates-biography
5,"Over the past 10 years, the number of people living in Lower Manhattan has nearly doubled. In fact, Lower Manhattan has added more people over the last 10 years than Atlanta, Dallas and Philadelphia combined.","housing,terrorism"
5,"We have one of the most expensive General Assemblies, per capita, in the entire country.","state-budget,state-finances,states,taxes"
5,"Since that famous day in February where the governor campaigned with Barack Obama on behalf of the stimulus program, 211,000 Floridians have lost their jobs.","economy,stimulus"
5,While I was mayor of the city of Providence we had the lowest crime rate in 30 years.,crime
5,"In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.",health-care
5,U.S. Sen. Kay Bailey Hutchison has voted nine separate times to raise the national debt ceiling.,economy
5,Things went wrong with the Medicare prescription D plan that George Bush rolled out.,"health-care,medicare,retirement,technology"
5,Child care costs in some states now exceed the average price tag for college tuition.,"children,education,families"
5,"\u201CThirty-four percent of Hispanics don\u2019t have any health care at all, don\u2019t have any health insurance.\u201D",iraq
5,Members of Congress did not have three days to read the bill when the stimulus was rushed into law.,"history,stimulus"
5,"U.S. forces in Iraq and Afghanistan include a ""few thousand that are still green card holders who are not even citizens of this country.",military
5,Obamacare was patterned after (Mitt Romneys) plan in Massachusetts.,health-care
5,Georgia has some of the best maintained roads in America.,transportation
5,Americas wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.,taxes
5,"Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries.","health-care,public-health"
5,Says a Lubbock terror suspects alleged plan to use baby dolls to conceal chemical explosives is similar to a 1995 plot to blow up 12 jumbo jets over the Pacific Ocean.,terrorism
5,"If voters agree in November to approve a one-cent sales tax increase, that will give ""Hillsborough County the highest sales tax of all Florida counties.","taxes,transportation"
5,If you are a federally licensed gun dealer and your license is revoked because youve engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.,guns
5,"In New York, when she ran for reelection, she carried 58 of our 62 counties. George Bush had won 40 counties in New York just two years earlier.",elections
5,On the main GOP presidential debate:Not one candidate on the debate stage has military experience,"candidates-biography,military"
5,Georgia is one of three states that effectively have no regulations whatsoever on lobbyists giving to legislators.,ethics
5,"In Massachusetts, half of the primary care doctors are not accepting new patients.",health-care
5,"As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!",legal-issues
5,"We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.","economy,income"
5,The unemployment rate for folks whove never gone to college is almost double what it is for those who have.,"economy,education"
5,Langevin votes the party line about 98 percent of the time.,bipartisanship
5,"If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of.","legal-issues,military,terrorism"
5,New business startups are at the lowest levels in 30 years.,"economy,jobs"
5,Says that U.S. Sen. Marco Rubio says troops are leaving Iraq too fast.,"foreign-policy,iraq"
5,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,taxes
5,"In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations.",campaign-finance
5,The Dallas Cowboys cant put a sticker on their helmets for the 5 police officers who were killed.,sports
5,The fastest-rising expense in the U.S. Defense Department is health care.,"health-care,military"
5,Texas is growing twice as fast as the rest of the country.,population
5,A 50-50 public-private split for paying for a new Milwaukee Bucks arena would be much better -- in terms of the portion of the public financing -- than most of the other arena projects done around the country.,"economy,recreation,sports,state-budget,taxes"
5,There are more pain clinics in Broward County than there are McDonalds in Broward County.,drugs
5,The stimulus bill contains $20 million for the removal of small to medium-sized fish passage barriers and $25 million to rehabilitate off-roading trails for ATVs.,"economy,federal-budget,stimulus"
5,Senator McCain voted against the Bush tax cuts. Now he's for them.,taxes
5,The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.,"deficit,federal-budget,taxes"
5,"After today, @GovJayNixon will have been overridden more times than all previous governors in #MO history #moleg",job-accomplishments
5,"Rick Scott's former health care company, Columbia/HCA, committed ""fraud.","candidates-biography,health-care"
5,"President Obama himself attempted to filibuster Justice Alito, who now sits on the Supreme Court.","supreme-court,abc-news-week"
5,Polling shows that nearly 74 percent of National Rifle Association members support requiring background checks for all gun sales.,"civil-rights,government-regulation,guns"
5,Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks.,economy
5,Daniel Webster said he's out. Now he says he's in.,elections
5,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.","jobs,states"
5,FDR was called a socialist and a communist.,history
5,This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants].,"education,immigration,states"
5,Says Barack Obama is trying to slash funding for the Armed Pilots Program designed to prevent terror attacks.,guns
5,"In the first round of repayments from financial institutions that received TARP money, the government has actually turned a profit.",economy
5,"Says he has seen Border Patrol signs near the Mexico border in English, Spanish and Chinese.",immigration
5,"Says over the last 48 years, every governor at the midterm of his first term or her first term has lost seats in the Legislature, with the exception of Jim McGreevey in 2003.","elections,history,redistricting"
5,"Since Gov. Nathan Deal office in 2011, the states rainy day fund has grown by 643 percent.","state-budget,state-finances,states"
5,Wisconsins rainy day fund is 165 times bigger than when we first took office.,"job-accomplishments,state-budget,state-finances,taxes"
5,Says opponent Ted Cruz has not led businesses.,candidates-biography
5,Says Donald Trump thinks stop-and-frisk is fine.,"civil-rights,crime,criminal-justice,legal-issues"
5,This is a test of the Share the Facts widget.,technology
5,"Says as Co-Chair of the Joint Ways Means Committee, I secured the key piece of funding for the Portland-Milwaukie Light Rail project bridge.","state-budget,state-finances,transportation"
5,"To give the proposed economic stimulus plan some perspective, ""if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion.","economy,stimulus"
5,"Says lawyer appointed by Eric Holder to investigate government leaks helped and donated to Obamas campaign, vetting vice presidential prospects.",legal-issues
5,Could I just point out that ... I seem to get the first question all the time?,elections
5,The deficit this year could pay all of the 2013 salaries of every professional baseball player for the next 248 years.,"baseball,deficit"
5,The city of Portland has won more national Constitution contests than any city in America.,"debates,education"
5,"Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions on health care.","bipartisanship,health-care"
5,There will be no public funding for abortion in this legislation.,"abortion,health-care"
5,Says Virginia is the biggest state that does not have a major league sports team.,sports
5,"Mike Martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill.","city-budget,city-government,ethics,legal-issues"
5,"In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.","economy,jobs"
5,Guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,terrorism
5,Says about 25 Texas cities and 39 states have banned texting while driving.,"public-safety,transportation"
5,Saudi Arabia is the only Muslim country out of 47 Muslim-majority countries where women cannot get licenses to drive.,islam
5,"If you look at the benefits and wages of recorded federal employees, they far outstrip the market rates of the private sector.","federal-budget,jobs"
5,Says ending the direct payment farm subsidy program could save up to $28.4 billion over ten years that could be used to reduce the deficit.,"agriculture,federal-budget"
5,"Says Marco Rubio said that people who essentially dont agree with him, ought to leave the country, like Keith Olbermann.","pundits,voting-record"
5,"Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.","deficit,federal-budget"
5,Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.,job-accomplishments
5,Says Mitt Romney suggested that employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage.,"debates,drugs,health-care,sexuality,women"
5,"Says the Republican Party platform says pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold while the Democratic Party platform says we want to find a way to put more fair rules on campaign finance reform.",campaign-finance
5,"Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition.","education,job-accomplishments,state-budget"
5,DeKalb County has cut more money from its general fund budget than any local government in the Atlanta metro region.,government-efficiency
5,"In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.",crime
5,Says Scott Walkers listening sessions are invite-only and excluding the press.,"bipartisanship,government-efficiency,job-accomplishments"
5,The right-to-work states are creating a lot more jobs today than the heavily unionized states.,jobs
5,Spending of government money is 17 percent less than it was a decade ago.,state-budget
5,"North Korea has a substantial standing army, one of the largest, certainly the largest per capita, in the world.","congress,military,nuclear,population"
5,Massachusetts Sen. Scott Brown shows someone can be bipartisan in Congress because he votes about 66 percent with his own party.,"bipartisanship,congress,voting-record"
5,Says Romney flip-flopped on abortion.,"abortion,message-machine-2012"
5,Many of the top officials at the Port Authority earn more money than the governors of the states that have jurisdiction over them.,transportation
5,Only half of the murders in the city of St. Louis get solved.,crime
5,The legislation ... that Senator McCain supports would provide the authority for the federal government to surveille American citizens in their own country without any suspicion whatsoever that they're engaging in discussions with terrorists or about criminal activity.,"civil-rights,terrorism"
5,Tennessees grocery tax is one of the highest in the nation.,taxes
5,The United States is numberonein the world in energyresources;Russia isnumber two.,energy
5,Says Hillary Clinton wants to increase Syrian refugees to this country by 550 percent.,"foreign-policy,human-rights,immigration,terrorism"
5,We are at a 40-year low in our crime rate in our state.,crime
