"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The CDC currently reports 99031 deaths. In general the discrepancies in death counts between different sources are small and explicable. The death toll stands at roughly 100000 people today.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#IndiaFightsCorona India continues to scale new peaks in #COVID19 tests! More than 11.70 lakh samples tested daily for 2 consecutive days. No other country has achieved these levels of very high daily testing. @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We just announced that we have shipped vials of mRNA-1273 the Companys vaccine against the novel coronavirus to the NIH to be used in the planned Phase 1 study in the U.S. https://t.co/jNarQEkGhr https://t.co/o7EoaYeQH1""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The NZ COVID Tracker app will remain important and useful at Alert level 1. People are encouraged to download the app or a similar one or keep a record of where youre going to be.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We are delighted that 78 high- and upper-middle countries and economies have now confirmed they will participate in the COVAX Facility and the number is growing. I urge those who have not yet joined to do so by the 18th of September-@DrTedros #COVID19""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Very intriguing possibility that mood changes and anxiety may be a function of invasion of the #coronavirus into the CNS and brain. https://t.co/q5kwqJmFRt""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Just Appendix B gathering all the state orders on testing was a huge chunk of work. Same goes for Appendix D an evaluation of the accessibility of the CDC's Data Tracker.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Yesterday our laboratories completed 2899 tests of those 726 were testing of people in managed isolation and quarantine for the routine testing on either days 3 or 12 of their stay. That brings the total number of tests completed to date to 436233.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Reusing #N95 masks? NIH found vaporized hydrogen peroxide UV light and heat to be effective sanitizers. https://t.co/2RgFWeSLrv #coronavirus https://t.co/Lz1IaMdPZg""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This #FourthOfJuly weekend if you choose to spend time outdoors at an event or gathering stay 6 ft apart &amp; wear a cloth face cover to slow the spread of #COVID19. Learn more at https://t.co/c4F0aouMLd. https://t.co/u5tTl3m572""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We apologise to the Government of Ekiti State for this error. We remain committed to improving our quality control processes to ensure accurate and transparent reporting of cases https://t.co/c6yPex9khE""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""In May we did not break 30k cases in a day. Today the South alone reported 32830. https://t.co/fGCEGi3o7V""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We launched the #COVID19 Solidarity Response Fund which has so far mobilized $225+M from more than 563000 individuals companies &amp; philanthropies. In addition we mobilized $1+ billion from Member States &amp; other generous to support countries-@DrTedros https://t.co/xgPkPdvn0r""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""including that there will again be testing of asymptomatic workers involved in managed isolation and quarantine and airport and border staff. This is part of our wider surveillance measures and is expected to be operational in early July.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""I don't want to do a national lockdown again.' If #coronavirus continues to 'progress' in the UK the PM says the govt will have to take \""further measures\"" but insists that he doesn't want a \""second national lockdown\"". Read more here: https://t.co/OC6eR6H6lg https://t.co/NlcySrwbbn""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Our daily update is published. States reported 586k tests 28k cases and 224 deaths. https://t.co/bqjpy9W8qf""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#IndiaFightsCorona New Recoveries in India have exceeded the New Cases for 5 consecutive days. #COVID19 https://t.co/IWV0Eym3HD""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The top 5 States with high Active Caseload are also the ones which are presently reporting a high level of recoveries. https://t.co/hOWhFx5wPe""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""There are currently 4927 people in managed isolation and quarantine. Our current effective capacity is 7126. This gives us an excess capacity of 2199. Over the next week we are projecting 3590 arrivals and 2699 departures from our facilities.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Schools are struggling to cope with a lack of #COVID19 tests - with new infections increasing since it became compulsory for pupils to return. But when should you get your child tested for the virus? Here's our explainer ""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Masks can help prevent the spread of #COVID19 when they are widely used in public. When you wear a mask you can help protect those around you. When others wear one they can help protect people around them incl. you. https://t.co/jkWwZTfWSS #WearAMask #DoYourPart #WorldMaskWeek https://t.co/O7FckRf1ks""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""132 new cases of #COVID19Nigeria; Lagos-52 Gombe-27 Plateau-17 Kwara-10 Enugu-9 Ogun-9 Katsina-3 Ekiti-2 Bauchi-1 Osun-1 Rivers-1 56388 confirmed 44337 discharged 1083 deaths https://t.co/Enpey5u7xh""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""RT @MoHFW_INDIA: #IndiaFightsCorona With high number of sustained recoveries India surges ahead with highest single day RECOVERY. Nearl""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Residents of York are asked what they think of a new government rule which allows people in England who may have #COVID19 to be fined up to 10000 if they fail to self-isolate. To read more click here: https://t.co/pqD1I8xgam https://t.co/QPgh3xlDIo""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""As of today there are a total of 1339 @ICMRDELHI approved labs for #COVID19 testing. These consist of 911 Govt &amp; 428 Pvt labs: https://t.co/j4tAvyIcKc #CovidTesting #COVID__19 #COVID #Covid_19 #COVID19 #COVID19India #COVIDUpdates #coronavirus #CoronaUpdates #CoronavirusIndia https://t.co/Q0IuKceIFX""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The government has come under pressure over a lack of availability of #COVID19 tests. Read more here: https://t.co/lMM9qgEryL https://t.co/KjwsinY5s1""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""More than 15 million cases of #COVID19 have now been reported to WHO and almost 620000 deaths. Although all countries have been affected we continue to see intense transmission in a relatively small group of countries-@DrTedros""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""@JohnKin17583856 The sensitivity of the test is definitely something specialists are talking about. I have not seen a real number but I also havent looked that hard because weve been doing other things.-@alexismadrigal""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The main mode of transmission of #Novel #Coronavirus is through droplets and it is possible that infected smokers may blow droplets carrying the virus when they exhale. Regardless of #COVID19 you should steer clear of second-hand smoke as it may cause various health problems. https://t.co/aF3bZRlEve""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""RT @Surgeon_General: #DYK: #Handwashing remains one of the best ways to prevent the spread of viruses like #COVID19. Here are 5 things to""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""According to the State Health Department #Haryana #COVID19 #RecoveryRate in #Gurugram is 86.7%: https://t.co/oZ9KCDajIJ #COVID19 #Covid_19 #COVID19 #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/2Sp8yRRRWj""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Our daily update is published. Sundays and Mondays are when we tend to see the numbers dipand we see that today. Still: 62k cases rising hospitalizations and a large jump in deaths over last Sundays holiday numbers. The 7-day average is now back over 700. https://t.co/5hdQFxQ2OJ""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Our total number of confirmed cases of COVID-19 is now 1431 which is the number we report to the World Health Organization.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""UN Secretary-General Antonio Guterres says the #COVID19 pandemic has \""dramatically derailed\"" sustainable development goals and has \""put into question\"" progress that was being made on the eradication of poverty and hunger. Latest world news: https://t.co/CDN8pokUbF https://t.co/TFzPdfFyRC""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Across the 21 states who report them we tracked 4468 hospitalizations the bulk in New York. But Louisiana and Florida also have growing numbers of hospitalizations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#IndiaFightsCorona: Indias Total Recoveries continue to rise cross 32.5 lakh today 5 States contribute 60% of total cases 62% of active cases and 70% of total fatality reported in India #StaySafe #IndiaWillWin https://t.co/KRn3GOaBNp""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""RT @COVIDNewsByMIB: #IndiaFightsCorona: @ICMRDELHI scales up Covid-19 testing capacity to 3 lakh tests per day in country. As of now tota""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We can now say there are 33 cases in the Mt Roskill Evangelical Fellowship group and 13 cases in the bereavement sub-cluster which includes the cases whose source of infection was the bereavement events.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""There is no one in New Zealand receiving hospital-level care for COVID-19.  Yesterday our laboratories completed 2111 tests bringing the total number of tests completed to date to 280983. #covid19 #covid19nz #COVID19""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""As at 11:50 pm 19th April the breakdown of cases by state is: Lagos- 376 FCT- 88 Kano- 36 Osun- 20 Oyo- 16 Edo- 15 Ogun- 12 Kwara- 9 Katsina- 12 Bauchi- 7 Kaduna- 6 Akwa Ibom- 9 Delta- 4 Ekiti- 3 Ondo- 3 Enugu- 2 Rivers-2 Niger- 2 Benue- 1 Anambra- 1 Borno- 1 Jigawa- 2""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The biggest change in the data is in the number of COVID-19 patients who are currently hospitalized. With the addition of Florida's 7k hospitalizations were now over 51000. We have not seen those numbers since the first week of Mayand they do not seem likely to decline soon. https://t.co/tRvO4ypKGF""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#CoronaVirusUpdates: #COVID19 India Tracker (As on 7 September 2020 08:00 AM) Confirmed cases: 4204613 Recovered: 3250429 (77.3%) Active cases: 882542 (21.0%) Deaths: 71642 (1.7%) #IndiaFightsCorona #IndiaWillWin #StaySafe Via @MoHFW_INDIA https://t.co/WVQslxqBPC""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""India has now tested more than 2 lakh samples/day for #COVID19! This has been enabled by @ICMRDelhi's commitment to set up over 1000 Laboratories and expanding testing mechanisms. For details visit: https://t.co/FQhg5M5xrN #ICMRFightsCOVID19 #IndiaFightsCorona @MoHFW_INDIA https://t.co/rDkcvFbhUS""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Pregnant women with COVID have a 25% higher rate of premature births. https://t.co/g1hScYwGpr""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""@WHO Solidarity Trials are also underway in many countries. Once these projects are complete controlling #COVID19 effectively will be easier due to the availability of proper medicines vaccines etc. as did to control various infectious diseases across the world.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""COVID-19 update: There are no new cases of COVID-19 to report in New Zealand today. It has been 99 days since the last case of COVID-19 was acquired locally from an unknown source.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Compare the number of completed tests reported by New Mexico a state with a population 19 times smaller than Californias. These numbers should not even be close and yet they are. https://t.co/tzB9fZM6FP""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""All 12 cases in the community are Auckland based. All are connected to the existing outbreak as close contacts of cases already reported. 2 of the new cases are household contacts of a previously reported case that is still under investigation - the GP from Mt Wellington.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""That brings New Zealands total number of active cases to 14 all are in managed isolation or quarantine facilities. There are no cases in the community.  NZ's total number of confirmed cases of COVID-19 is now 1170 which is the number we report to the WHO.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#CoronaVirusUpdates India records Highest ever single day peak of 63631 #COVID19 recoveries. #IndiaFightsCorona as Total recoveries cross 22 lakh. Recoveries exceed the active cases by more than 15 lakh. https://t.co/XBY3Er8K0P https://t.co/VDQSv7xVUB""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Do you have a cough fever or runny nose? If these symptoms came on suddenly theres a good chance you could have #flu. Watch to find out what you should do next to #fightflu. https://t.co/fp3aSjumw4""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""As of today there are 23917 active #COVID19 cases in #Mumbai District #Maharastra: https://t.co/6CcqIYgbXL @MoHFW_INDIA @drharshvardhan @DrHVoffice @MantralayaRoom #COVID__19 #Covid_19 #COVID19 #CoronaUpdatesInIndia #Coronavirus #CoronaVirusUpdates #CoronavirusPandemic https://t.co/k6ICon5kZ6""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Public Health England's weekly #coronavirus report shows a rise of almost 23% in rhinovirus infections which include the common cold in the last week https://t.co/N6jzZYU7lJ""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Some people are more likely than others to become severely ill from #COVID19 which means that they may require hospitalization intensive care or a ventilator to help them breathe. Some severely ill people may die. Learn more. https://t.co/15lxFaQqX7 https://t.co/MAnreCAV8G""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#IndiaFightsCorona:  Increasing gap between #COVID19 Recovered &amp; Active cases of India (May 04 2020 to September 11 2020) #StaySafe #IndiaWillWin https://t.co/FFJ4DKyspR""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Coronavirus parties can have deadly consequences. https://t.co/WTriJWJu9T""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Cabinet Office Minister Michael Gove says 'there's going to be a shift of emphasis' on working from home in the new #COVID19 restrictions. #KayBurley Get the latest #coronavirus news: https://t.co/hk8hrup8AY https://t.co/q8Btm4YE1P""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""@James_Gross Well they are now reporting quite effectively. It's just they refuse to put their numbers in a table or dashboard for reasons that are beyond me.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Looking at the numbers this is not like yesterday where one state (California) drove a huge increase. This number seems much more solid driven by a number of states reporting large numbers of tests completed.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#IndiaFightsCorona: @MoHFW_INDIA held a virtual meeting today with States &amp; UTs to ensure adequate Oxygen availability in all healthcare facilities &amp; unrestricted intra as well as inter State movement of oxygen. Read Details: https://t.co/cFx0MYEcFx #StaySafe #IndiaWillWin https://t.co/6jA2u1eY9Z""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""#HCPs: Attend the next COCA call Tuesday Aug 4 at 2pm ET via Zoom. Topic: COVID-19 &amp; Telehealth Implementation: Stories from the Field. Learn more: https://t.co/vWVKebacNF. #COVID19 https://t.co/yID3bDxiaP""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""How a healthy 16-year-old boy lost his life to #COVID19 in just 12 days. https://t.co/smQHSWqt56""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""An important part of our work is data collection and analysis At 11:30pm every day our data Team collates results received from all testing laboratories to inform Nigerians of the number of new #COVID19 cases Results not received at this time are reported the next day https://t.co/Nyo6NeImRk""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Finally we launched the first real version of the COVID Racial Data Tracker in partnership with @DrIbram and the @AntiracismCtr. This has been a major effort by our project's volunteersand we hope it will be useful to communities across the country. https://t.co/hTyV0MA5tA""}, {""role"": ""assistant"", ""content"": ""True""}]}"
