"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Arab League to hold emergency meeting on U.S. plans to recognize Jerusalem as capital of Israel. Palestinians and Jordan had requested the meeting which will take place on Saturday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Kremlin concerned that conflict between Israel and Palestinian authorities could be aggravated. U.S. President Donald Trump s plans to move the U.N. Embassy in Israel to Jerusalem. Trump on Wednesday will deliver remarks about his decision.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Netanyahu outlined Israel s economic strengths and international outreach. But he did not mention the U.S. President Donald Trump s Jerusalem announcement, due later on Wednesday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Turkish Foreign Minister Mevlut Cavusoglu says he has warned U.S. Secretary of State Rex Tillerson. \""It will not bring any stability ... but rather chaos and instability,\"" he says. \""The whole world is against this\""""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Germany is concerned that violent clashes could erupt in the Middle East. Reports that U.S. President Donald Trump would recognise Jerusalem as Israel s capital. France also warned on its website that demonstrations were expected.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Deputy Prime Minister Bekir Bozdag: Declaring Jerusalem a capital is disregarding history. U.S. officials have said President Donald Trump is likely to give a speech on Wednesday unilaterally recognizing Jerusalem as Israel s capital.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Syrian government condemns U.S. decision to recognize Jerusalem as capital of Israel. Move is culmination of the crime of usurping Palestine and displacing Palestinian people, SANA says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump would effectively be making a declaration of war if he recognizes Jerusalem as Israel s capital, Palestinians say. Manuel Hassassian, Palestinians chief representative to Britain, says it means a kiss of death to the two state solution.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Boris Johnson says he is concerned about reports that U.S. President Donald Trump will recognize Jerusalem as Israel s capital. \""We view the reports that we have heard with concern,\"" he said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The State Duma lower house of Russia s parliament voted on Wednesday to bar correspondents of U.S. mass media from attending its sessions. The Voice of America and Radio Free Europe/Radio Liberty were officially designated as foreign agents on Tuesday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""China hopes relevant parties can exercise restraint over North Korea. South Korean military said that U.S. B-1B bomber flew over Korean peninsula during a large-scale joint aerial drill.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Britain should leave open the option of remaining in the single market and customs union, Labour says. Opposition spokesman for the opposition Labour Party Keir Starmer says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""South Korean President Moon Jae-in will visit China from Dec. 13-16. Xinhua did not give further details but the visit will come at a time of heightened tensions on the Korean peninsula.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Egyptian President Abdel Fattah al-Sisi told U.S. President Donald Trump there was no need to complicate matters in the Middle East. Sisi cautioned Trump against  taking measures that would undermine the chances of peace in the region.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump spoke with five Middle East leaders about potential decisions. Trump reaffirmed his commitment to advancing Israeli-Palestinian peace talks.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump will deliver remarks about his decision on whether to move the U.S. embassy in Israel to Jerusalem from Tel Aviv. Trump notified Arab leaders on Tuesday that he intends to make the major change.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Rafael Ramirez, Venezuela s former ambassador to the U.N., has left the United States. Ramirez, who for more than a decade ran Venezuela s massive oil industry, said he was removed because of his opinions.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Jeffrey Feltman is currently the U.N. undersecretary-general for political affairs. Previously he served as U.S. assistant secretary of state for Near Eastern affairs.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The U.S. Consulate in Jerusalem instructed employees on Tuesday to stay away from the occupied West Bank and parts of Jerusalem. President Donald Trump told Middle East leaders he planned to move the U.s. Embassy in Israel to the holy city. The decision breaks with decades of U.N. policy and risks fuelling violence in the Middle East.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Saudi King Salman says any decision to move U.S. Embassy in Israel to Jerusalem will inflame feelings of Muslims. King Salman received a telephone call from Trump about developments in the region and world.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Jordan plans to convene emergency meetings of the Arab League and Organisation of Islamic Cooperation. The meetings will coordinate Arab and Islamic stances toward the U.S. decision, foreign minister says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Six Russian long-range bombers struck Islamic State targets in Syria. TU-22M3 bombers took off from a base in Russia and flew to Syria.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Mahmoud Abbas spoke with the presidents of Russia and France, with the Pope and with King Abdullah of Jordan. He told them such a move was rejected and he urged them to intervene to prevent it from happening.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian President Vladimir Putin phoned Palestinian President Mahmoud Abbas. Putin backs a resumption of talks between Israel and Palestinian authorities. Earlier on Tuesday, U.S. President Donald Trump told Abbas that he intends to move the US Embassy in Israel to Jerusalem.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump spoke with Palestinian President Mahmoud Abbas. The call comes amid reports the United States is planning to formally recognise Jerusalem as the capital of Israel. A senior administration official said last week that Trump would likely make the announcement Wednesday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The 47 member forum adopted a resolution brought by Bangladesh. The vote was 33 in favor, three against including China. Myanmar s ambassador Htin Lynn told the Geneva forum that his government disassociated itself from the resolution.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Opposition Labour Party calls on Prime Minister Theresa May to put post-Brexit membership of the single market and the customs union under discussion in talks with the European Union.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Northern Irish party that props up Prime Minister Theresa May says it only got the text of the draft deal late on Monday morning. DUP deputy leader Nigel Dodds said the party would work for as long as needed to get the deal right.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. President Donald Trump informed Palestinian President Mahmolud Abbas on Tuesday. Abbas warned of the dangerous consequences such a decision would have to the peace process. The statement did not say whether Trump elaborated on the timing of such a move.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""President Donald Trump was speaking with a number of Middle East leaders. Trump was expected to announce as soon as Wednesday that he will again delay moving the U.S. embassy in Tel Aviv to Jerusalem.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""More than 5,800 kg of the drug were discovered on a container ship traveling from Medellin in Colombia. The ship was carrying bananas from Colombia to El Prat de Llobregat, the location of the international airport in Catalonia. Three people had been arrested in relation to the haul, including the Spanish head of the import company.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Arab League Secretary General Ahmed Aboul Gheit says U.S. should not alter Jerusalem s legal and political status. He said possible move of the U.N. embassy in Israel to Jerusalem would be a dangerous measure.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Spanish Prime Minister Mariano Rajoy says he expects Britain and the European Union to progress soon into the next phase of negotiations. Rajoy: I am absolutely convinced that, as soon as possible, we will get into the second phase. May failed to clinch a deal on Monday to open talks on post-Brexit free trade with the EU.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.N. human rights boss calls on Mexico s Senate not to adopt a proposed law on internal security. Zeid Ra ad al-Hussein says it would enshrine the role of the military in law enforcement. Violence has not abated and extrajudicial killings, torture and disappearances continue.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Democratic Unionist Party (DUP) props up Prime Minister Theresa May. DUP says it would not accept a deal that saw Northern Ireland diverging politically or economically from the United Kingdom.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Fighting in the Yemeni capital of Sanaa in nearly a week has risen to 234 killed. ICRC: 400 wounded, including 383 severely injured. Sanaa quiet on Tuesday after five days of fighting that culminated in the death of ex-President Ali Abdullah Saleh.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Secretary of State Rex Tillerson says the United States remains committed to Europe. He offers a public statement of support for European allies worried about foreign policy.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Michael was forced to abdicate in 1947 after the post-war Communist takeover of Romania. He has lived in exile in the West for decades.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""London police say an item that prompted a security alert in the financial district of the city is non-suspicious. Authorities had closed St Paul s underground station as a precaution.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Myanmar tells U.N. it is finalizing terms for joint working group with Bangladesh. Working group will launch process of safe and voluntary return of hundreds of thousands of Rohingya refugees.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Theresa May and other British officials will speak to Northern Ireland s Democratic Unionist Party (DUP) on Tuesday. British leader may return to Brussels as early as Wednesday to try to save a deal.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Britain's Chancellor of the Exchequer Philip Hammond says he is confident the EU and Britain could reach a Brexit deal. \""We re very confident that we will be able to move this forward,\"" Hammond said.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Turkey has been angered by U.S. support for Syrian Kurdish YPG fighters. Ankara says the YPG is an extension of the outlawed Kurdistan Workers Party (PKK)""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Moscow expects new complications in its relationship with the United States in early 2018. Russian Deputy Foreign Minister Sergei Ryabkov said Washington could resort to new destructive impulses.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Arab League condemned the killing of Yemeni ex-president Ali Abdullah Saleh. It said his death threatened to cause an explosion in the Gulf country's security situation. The Arab League also condemned the Houthi movement which killed Saleh as a terrorist organization.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Omar Khetab, also known as Omar Mansoor, was the most senior member of his branch of the group killed. Security forces also arrested 27 individuals in the operation in the eastern Afghan provinces.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The drugs enforcement agency, known as PDEA, will remain the lead agency in the war on drugs. President Rodrigo Duterte suspended the police s anti-narcotics operations in January, after questions were raised about police conduct.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""German Foreign Minister Sigmar Gabriel warns of shifting world order. U.S. withdrawal from role as guarantor of multilateralism accelerates change, he says.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian Foreign Minister Sergei Lavrov is expected to discuss the North Korean crisis with U.S. Secretary of State Rex Tillerson.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Observers cannot be certain of the results of Honduras' Nov. 26 presidential vote due to irregularities, errors and systematic problems. Former Bolivian President Jorge Quiroga and head of the OAS mission to Honduras says electoral authorities should carry out wider recount.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Saudi Arabia said on Monday any U.S. announcement on the status of Jerusalem before a final settlement is reached would hurt the peace process. The kingdom s policy - has been - and remains in support of the Palestinian people.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The United States is calling on all sides in Yemen to re-energize political talks. Former President Ali Abdullah Saleh was killed in a roadside attack. Analysts said Saleh s death would be a huge morale boost for the Iran-aligned Houthis.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Lebanon s cabinet will meet on Tuesday for the first time since the country entered a political crisis. Prime Minister Saad al-Hariri offered his resignation in a broadcast from Saudi Arabia. The meeting is expected to address Hariri s resignation.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Some of the fiercest clashes are around the diplomatic area near the U.N. compound. Aid flights in and out of Sanaa airport have been suspended. The United Nations has appealed for a humanitarian pause on Tuesday.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Ireland is surprised and disappointed that the British government was unable to conclude a deal Dublin believed had been agreed on the future of the Northern Ireland border. Prime Minister Leo Varadkar said Ireland s position was unequivocal.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Egyptian security forces kill five suspected militants in a raid on a desert location. Security forces arrested six other people and seized ammunition and weapons. The statement did not link the militants to any specific group.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Yemeni President Abd-Rabbu Mansour Hadi called on Yemenis to rise up against the Iran-aligned Houthis. Hadi also called for a new chapter in the fight against the Houthis, who were allied with Saleh.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Mauritanian U.N. peacekeeper killed in attack on camp for displaced people. Fighters armed with AK-47s and makeshift weapons also wounded. Country has been riven by sectarian conflict since 2013 when Muslim Seleka rebels ousted President.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Britain and the European Union have failed to fully agree a deal on Brexit. BBC Europe editor Katya Adler said there was no deal today.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The head of the Northern Irish party which props up the British government spoke to Prime Minister Theresa May on Monday. Democratic Unionist Party leader Arlene Foster spoke to May by phone shortly after her statement in Belfast.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Nine U.S. media outlets are likely to enter the list of  foreign agents, a source says. The Kremlin has said it fully understands why Russia s parliament plans to discuss banning representatives of U.s. media organizations.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A statement by Irish Prime Minister Leo Varadkar on the progress of Brexit talks has been delayed. He did not say what time the statement would take place.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Arlene Foster, the leader of the Democratic Unionist Party, said there could be no regulatory divergence between Northern Ireland and the rest of the United Kingdom. Foster said the economic and constitutional integrity of the UK must not be compromised in any way.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Russian prosecutors seek 10 years in jail for ex-economy minister. Alexei Ulyukayev on trial on charges of extorting a $2 million bribe from Rosneft chief Igor Sechin.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Ali Abdullah Saleh was killed south of the capital Sanaa. Sources in the Houthi group said fighters stopped his armored vehicle with an RPG rocket and then shot him dead.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Radio station of Yemen s Houthi-controlled Interior Ministry said Saleh had been killed. There has been no independent confirmation of his death. Social media users in Yemen circulated unverified images of a corpse which resembled the ex-president.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""France and Germany agree that Iran must reverse its ballistic missile program. French foreign minister: We also have the same view on the necessity for Iran to go back.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Honduran President Juan Orlando Hernandez held a lead over his main opposition rival. Hernandez had 42.98 percent of the vote, while TV star Salvador Nasralla had 41.39 percent. The head of the tribunal, David Matamoros, has yet to declare an outright winner.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""British and European Union negotiators have reached agreement on a deal for all Irish issues, two Irish government sources said. The key phrase is a clear commitment to maintaining regulatory alignment in relation to the rules of the customs union and internal market.""}, {""role"": ""assistant"", ""content"": ""True""}]}"
