Statement,Label
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,True
I belong to the AFL-CIO.,True
The insurance commissioner cant do squat about health care.,True
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,True
Did you know US population growth is at its lowest since the Great Depression?,True
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",True
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",True
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,True
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",True
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",True
Sen. Obama has always had a 100 percent prochoice rating.,True
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",True
The (federal) debt is growing by more than $4 billion a day.,True
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",True
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,True
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",True
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",True
The economy is creating jobs at the fastest pace since 1999.,True
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,True
"In a majority of states, you can now marry freely, but can still be fired for who you love.",True
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",True
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",True
Says 88 Texas constables have died in the line of duty.,True
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",True
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",True
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",True
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,True
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,True
Some neighborhood schools are closing.,True
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,True
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",True
Says the U.S. Supreme Court found that Social Security is not guaranteed.,True
Oregonians have an amazing no-cost way to fight abortion with free political donations,True
Newt Gingrichs immigration plan offers a new doorway to amnesty.,True
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",True
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,True
Donald Trump has said nuclear proliferation is OK.,True
"Hillary Clinton has taken over $800,000 from lobbyists.",True
Says the Arizona immigration law expressly bans racial profiling.,True
Were now spending 42 percent of our economy on government.,True
We (Democrats) have made steady progress creating jobs and improving our schools.,True
"Whether you like to admit it or not, half our general revenue goes to education.",True
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,True
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",True
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,True
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",True
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,True
Says Chris Christie vetoed a jobs package of 30 bills.,True
There are already more American jobs in the solar industry than in coal mining.,True
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,True
Barack Obama is in an economy thats only worsened since hes been president of the United States.,True
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",True
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",True
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,True
Gas prices have gone up $2 since Obama took office.,True
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,True
Says judges get better benefits at a lower cost than everybody else in the state.,True
There are a lot of casinos across the country that have gone bankrupt.,True
Small businesses create 70 percent of the jobs in America.,True
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",True
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",True
If Texas were a country our economy would rank # 10...in the WORLD.,True
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",True
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",True
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,True
The Republicans have 2 percent of the Muslim vote.,True
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",True
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",True
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",True
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,True
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",True
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,True
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",True
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,True
You ... said that Barack Obama was not ready to be commander in chief.,True
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",True
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,True
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",True
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",True
On how money from a possible lease of the Ohio Turnpike would be used,True
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",True
"The president has had 1,540 of his nominations confirmed, only four defeated.",True
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,True
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,True
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.",True
"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.",True
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,True
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.",True
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",True
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",True
The Paul Ryan budget proposal would privatize Medicare.,True
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,True
The United States imprisons more than any nation in the world.,True
"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",True
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,True
Says you need a photo ID to purchase Sudafed in Texas.,True
Twenty percent of housing in Portlands Pearl District is affordable.,True
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",True
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,True
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,True
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",True
"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.",True
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",True
"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.",True
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",True
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,True
Warren (Buffett) still does support me.,True
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,True
"About 230,000 people that were on unemployment when I took office are not on unemployment now.",True
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",True
"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",True
"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",True
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,True
On legalizing illegal immigrants.,True
Nearly half of all pregnancies in the U.S. are unintended.,True
"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.",True
"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",True
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",True
Chris Christie has not increased the taxes on anyone.,True
"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",True
"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",True
"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",True
"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",True
Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,True
I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,True
"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",True
Immigrants are more fertile.,True
"The proposed education changes ""will not cut one teacher's pay.",True
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,True
If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,True
"Says Scott Walker wants to ban common forms of birth control, including the pill.",True
"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",True
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",True
Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,True
"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",True
There are mechanisms in place to shut down the Internet privately.,True
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,True
"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",True
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",True
"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",True
"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",True
"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",True
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,True
"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",True
"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",True
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,True
"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",True
"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",True
"Every year, more than $40 million are leaving Missouri for the Lone Star State.",True
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,True
The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,True
"We are younger than our competitors, and this is entirely because of immigration.",True
Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,True
"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",True
"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",True
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,True
"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",True
President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,True
"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",True
"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.",True
"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",True
"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",True
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",True
"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",True
"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",True
Says Texas routinely gets a lot more federal spending than it pays in taxes.,True
Says Texas has 11 different felonies you can commit with an oyster.,True
"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",True
The Redskins Training Camp deal generated $40 million in new private investment in the city.,True
The GOP budget plan would cut nearly a million jobs.,True
There are more people living in this country who were not born here than at anytime in the history of the country.,True
Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,True
"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",True
As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.,True
A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,True
"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",True
2008 was the deadliest year of the war (in Afghanistan) for American forces.,True
"Florida teachers are ""already paid $5,000 below the national average.",True
"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.",True
Says Amanda Fritz manages less than 5 percent of city operations.,True
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,True
"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",True
"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",True
On offshore drilling for energy,True
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",True
I haven't missed a vote since 1993.,True
Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,True
"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",True
"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",True
I havent raised taxes in the time Ive been the governor of New Jersey.,True
Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,True
Six people in Florida die as a result of (not expanding Medicaid) every day.,True
Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.,True
"Hillary Clinton ""starts off with 47 percent of the country against her.",True
Groups that receive foreign money are spending huge sums to influence American elections.,True
Says legislative cuts mean Texas is spending on average $500 less per student.,True
"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",True
We know that Saudi Arabia started al-Qaida.,True
Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.,True
Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.,True
"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.",True
"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.",True
"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",True
Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.,True
"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.",True
"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",True
"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.",True
"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.",True
"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",True
"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.",True
"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.",True
Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,True
"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.",True
What the Arizona law does is make a state crime out of something that already is... a federal crime.,True
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",True
Trump proposed enacting the largest tax increase in American history.,True
"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",True
"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",True
"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",True
We pay among the highest tolls in the nation for the privilege of crossing that bridge.,True
"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.",True
Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,True
John Mica voted to borrow $10 trillion.,True
"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.",True
"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.",True
"This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years.",True
House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,True
"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.",True
The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,True
Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,True
"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.",True
There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,True
"In the entire public school system in Camden last year, only three students graduated college ready.",True
"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",True
George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,True
Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,True
Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.,True
"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",True
The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.,True
"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",True
Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,True
"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",True
Says State Rep. Kristi Thibaut was an ACORN lobbyist.,True
Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,True
"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",True
"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.",True
Im the only (Republican)candidate that has actually reduced the size of government.,True
Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.,True
Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.,True
"One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids dont graduate.",True
Texas leads the nation in the percentage of residents without health insurance.,True
Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.,True
"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",True
"Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.",True
"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.",True
The DNC says McCain flip-flopped on whether the Iraq War would be easy.,True
Says Ohio law gives tax breaks to rich people who own private jets.,True
"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.",True
"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.",True
Says New Hampshire has the third-highest property tax in the country.,True
"Obama's tax plan cuts taxes ""for 95 percent of all working families.",True
A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,True
99.97 percent of the kids live in poverty that attend Cleveland public schools.,True
"John Kitzhaber created 128,000 new jobs while governor.",True
Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.,True
"In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.",True
"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.",True
"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",True
Americans spend 6.1 billion hours a year on tax preparation.,True
The budget I managed at the Department of Education was more than $60 million.,True
"Last year, Exxon pocketed nearly $4.7 million every hour.",True
"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.",True
"Right now, 50 percent of Florida students leaving high school cannot read at grade level.",True
Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,True
Youre in more trouble if you leave your pet in the car than if you leave your child in the car.,True
On letting Occupy Atlanta protesters stay in Woodruff Park.,True
What I have put forward does not add a penny to the debt.,True
"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.",True
"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.",True
"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.",True
Every president has raised the debt ceiling.,True
The states have always defined marriage.,True
"John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork.",True
"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.",True
Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.,True
The FCCs net neutrality policy includes whatis essentially a massive tax increase.,True
The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.,True
More people die from medical misadventures than firearm accidents nationally and in Florida.,True
The minimum wage is mostly an entry-level wage for young people.,True
"In the United States, weve had 12 years in a row of wages declining.",True
Charlie Crist has six different positions on ObamaCare.,True
"In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.",True
"As governor, I've stood up to ... the big oil companies.",True
"This year, were off to our best private-sector jobs growth since 1999.",True
Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.,True
There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.,True
Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.,True
Weve created more jobs in the United States than every other advanced economy combined since I came into office.,True
