"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Young illegal  dreamers and their parents flip off Trump supporters while yelling expletives you would expect to hear in a prison. Wearing sombreros and ironically holding signs reading  No hate,  screamed  F*ck you!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A recent AFL-CIO poll found that Trump has more support than Hillary and Bernie Sanders combined. Democrats are worried as more and more union members are supporting Donald Trump for president.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Don't let Hillary s cheerleaders in the mainstream media convince you that she can beat Trump. Trump has proven himself to be a formidable opponent. Hillary was beaten by an amateur Jr. Senator in 2008. I think it will be one of the closest elections we see since 2000.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Joining a gang is like having a family it s feeling like you re part of something bigger than yourself. We re going to have positive gangs.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Donald Trump was in Waterbury, Connecticut speaking to a huge group of supporters when a disgusting thug interrupted his speech. He was promptly tossed but you know the liberal media will blame Trump somehow.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Republican party has failed in its effort to steer the American people in their direction which is one of establishment politicians or else. The people are being ignored as the party elites huddle in meetings plotting and planning a way to get THEIR guy instead of who the people want.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We live in a free market society. The black man in this video is free to apply for a business loan and open a business in his community. To blame someone else for the state of his community is only deflecting from the real problems crime-ridden neighborhoods are facing.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""It s being reported by all the major media outlets that it s statistically impossible for Cruz to win the nomination. Is a third place finish for Cruz a game changer?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Watch brilliant philosopher prove how the Democrats are falsely using income inequality as an argument for climate change. Father Robert A. Sirico, President and Co-Founder of the Acton Institute, and philosopher and author of  A Moral Case for Fossil Fuels Alex Epstein embarrass Senator Barbara Boxer.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Bernie Sanders supporters are asked how they feel about Hillary. Their answers are very telling. How many of these Bernie supporters do you think will show up to the polls in November if Hillary is the nominee?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Colonel Ralph Peters says he doesn't think Congress will release the 9/11 Report. Unfortunately, he s correct.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Leave it to Judge Jeanine to get to the heart of the matter!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""    \""I'm sorry I didn't get a chance to meet you. I'm so sorry I missed your birthday. I love you so much. Thank you for all the love and support I've received over the years.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The freebies promised to Americans on the backs of tax paying Americans need to stop! The government really should provide protection, secure borders, infrastructure NOT freebies! Amen Bill!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""My husband has cheated on me from the beginning, and denies everything. Since he lost his job 14 years ago, he hasn t even looked for a new one. All he does all day is smoke cigars, cruise around and shoot the bull with his buddies.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The most ominous sign is that Hillary s losing to a 74 year old Socialist! These Bernie beatings are taking a toll!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""There is zero evidence that Trump is a  racist, yet the Left continues to spew that horrible label every chance they get. If you tell a lie big enough and keep repeating it, people will eventually come to believe it.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This mom is spot on with her common sense approach to what makes a woman a woman etc We love this!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""I don t really know about that    Nice try Hillary! ""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Kate McKinnon was spot on as Hillary Clinton. Julia Louis-Dreyfus reprises her role as Elaine Benes from Seinfeld.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Portland State University held its second Students for Trump Rally. Once again the radical commies and racists were there to try and shut down free speech.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""There s a good reason the United States of America has remained a world economic leader for most of its existence. It has nothing to do with Socialism.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The left can t handle the truth! This is epic!  You think those people are anti-love?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""There are people out there who are giving their lives trying to make our elections secure. And these vendors are lying and saying  that everything s alright  and it s not alright. It s as though our country is one country and pretending to be another country. How can this be happening in our elections?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Pro-Bernie Sanders Commie clashes with Neil Cavuto.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This video will make your day and give you hope for Conservatism. No matter what candidate you re for, this effort by college students should warm your heart.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The police should use their full force to stop this now because it ll set an example for future attempts to rally. You can blame Obama s buddy George Soros for stirring up this chaos. BTW-Trump has done NOTHING racist! He wants our border closed to illegals for the safety of Americans.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The social justice warriors are being terrorized by the chalk bandit Bahahaha!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Liberal lunacy has taken over America. We have people fighting for a bike path yet our infrastructure is crumbling.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""You can blame Obama for the hatred and division you see in this video. After 7-plus years of constant race baiting and pot stirring by Obama and his minions, it s come to this.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Most Selfish Man In Politics. This is the Hashtag  that really should be shared! Like us and Share if you agree that we shouldn t be usurped!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The deadline to register to vote in the Republican primary in New York was October 9, 2015. Both Eric and Ivanka missed the deadline. I m pretty sure Trump will win with a YUGE majority in New Yorkers without his kids.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""I ve been a lifelong Republican all of my life. I m ashamed to call myself a Republican.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Boston Globe ran a fake cover slamming Donald Trump for his desire to secure our border with Mexico. This is yet another example of how the media is so desperate to hurt Trump.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": "" Yep, she s just like you and me!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Michelle Obama lied when she spoke about hateful rhetoric. Americans are NOT blowing themselves up or cutting heads off. If anything, Americans have been so forgiving and fantastic in the face of Islamic terrorism.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Protesters let it rip on Hillary. This is great.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""First-hand look at the crazy state of affairs in Venezuela.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Here s the entire interview. This is hysterical!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Zari will first appear in season five of Baghch-e-Simsim, which is the Afghan version of Sesame Street.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Joe Hornick has been flying Trump s  Make America Great Again flag outside his West Long Branch home on a busy corner for months. He got a ticket recently citing him for illegally posting political signage more than 30 days before an election.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A Princeton professor gives viewers of FOX News a shocking demonstration that proves how easily voter fraud is committed.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Obama White House will embrace and celebrate the Iranian holiday of Nowruz. The Obama s have not yet revealed if they ll be invited to celebrate  Death To America Day in Iran.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Please share this everywhere! Especially to anyone considering voting for this nut job.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""A peaceful protest at Donald Trump s Sunday rally in West Allis, Wisconsin featured several Black Lives Matter supporters standing on the American flag.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Hillary aligns herself with her with the successes  of her philandering, lying husband.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Clinton said that while it  doesn t mean that you don t do everything possible to try to fulfill your obligations [to help the unborn person], it does not include sacrificing the woman s right to make decisions. The  unborn person is how Clinton describes the baby in the womb. So if the  unborn  is a person then wouldn t it have rights?""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Sandra Bland s mother Geneva Ridgefield, talked about how people she meets around the country complain that Hillary Clinton is a liar. Ridgefield defended Clinton, and later joked about Bill Clinton,  If I was to be held accountable for everything my man did, whoa! We d have a problem!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Karen Rove talks to Hugh Hewitt about picking a new face for the GOP at the convention. Hewitt says the party needs a fresh face at the GOP convention in Tampa, Florida.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Hillary Clinton shows her true colors here with a finger wagging moment on the campaign trail.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Diamond and Silk reenact alleged assault on former Breitbart reporter, Michelle Fields.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Vittert said he wanted Rawlings-Blake to answer a number of questions about the rioting over the past few days in the wake of Freddie Gray s death. Vittert added that he asked officers who  shoved him out of the way why they were protecting the mayor.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The investigation into Hillary Clinton s private email server is entering a very, very dangerous phase for the Democratic presidential front-runner, Judge Andrew Napolitano said.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""U.S. Rep. Eddie Bernice Johnson (D-Dallas) said the slayings of James Foley and Steven Sotloff should not lead to bombing ISIS forces in Syria. Johnson also said President Obama does not need Congressional authority to escalate the fight against ISIS.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Karl Rove gets called out by Eric Bolling in a tense exchange where Rove calls Bolling  paranoid. This interview tells you no matter what candidate you support that the establishment plans on denying Trump.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Dr. Ben Carson is so full of great common sense and wisdom!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""In the next few weeks, all trains in the REG Regional Express line, will get two female compartments, each with 12 seats.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The optics are horrible when there s a terror attack and Obama pretty much parties through it all.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Just  choose from what works. Riiiight.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The Weasel Zippers are not the smartest cowards in the desert. They are the only ones to have survived.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Hillary Clinton or Donald Trump? Which candidate makes you feel more safe? Take our quiz to find out.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Hillary Clinton's time would be better spent looking into an assisted living situation for her and Bill.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Obama obviously doesn t like power to be given to anyone but him. Yes, it s really hard to be a dictator in America.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This is awesome! No words just enjoy! ""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""This video was published on March 11, 2016, exactly 11 days before the terror attack took place in Brussels. Micha l Modrikamen, president of the Peoples Party in Belgium says he fully supports Donald Trump.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The AIPAC Policy Conference is the pro-Israel community s preeminent annual gathering. The event attracts more than 16,000 community and student activists from all 50 states.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Pulitzer Peace Prize recipient bow in deep respect to a horrendous human rights violator. He skips Nancy Reagan and Antonin Scalia s funerals.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""Former President Bill Clinton made a campaign appearance with former Congresswoman Gabbie Giffords and her astronaut husband.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""We have a serious problem with this anti-American jackhole of a president.""}, {""role"": ""assistant"", ""content"": ""False""}]}"
"{""messages"": [{""role"": ""system"", ""content"": ""TruthKeeper is a fake news detector bot. Return answer of True or False.""}, {""role"": ""user"", ""content"": ""The FBI is getting closer to a devastating decision fro Clinton. If you ask me, Hillary has no business bring president!""}, {""role"": ""assistant"", ""content"": ""False""}]}"
